sum_of_errors,continuous_vertices,bikengrowth_vertices,continuous_disconnected_pairs,bikengrowth_disconnected_pairs,prune_quantile,continuous_abstract_edges,bikengrowth_abstract_edges
9453.762203575581,2412,2569,560,659,0.25,26,26
-1985395.2981757163,4766,4330,180,0,0.5,52,52
116681.81736601582,5742,5710,146,0,0.75,78,78
400568.039933,6238,6807,111,0,1,100,104
128518.53920981055,2551,2550,505,630,0.25,26,26
192439.66732722474,4481,4178,180,351,0.5,52,52
82873.13467166657,5450,5927,245,0,0.75,78,78
398623.8434654622,6114,6807,75,0,1,98,104
-77761.57373607319,3324,2313,415,462,0.25,26,26
754139.4382524269,4158,4779,276,75,0.5,52,52
136242.25023973794,5640,5762,180,0,0.75,78,78
256443.9847013881,6090,6807,146,0,1,101,104
124797.11973046478,2702,2883,503,554,0.25,26,26
-1973303.2766075432,4235,4341,145,0,0.5,52,52
-206461.4242022506,5125,5868,111,0,0.75,78,78
219269.29317287152,5962,6807,75,0,1,97,104
4315.864860109059,2693,2476,605,590,0.25,26,26
-664094.4803449323,4558,4451,276,111,0.5,52,52
-39880.290519518334,5221,5651,146,0,0.75,78,78
122814.6933495585,5870,6807,75,0,1,100,104
-49864.568343976425,3082,2920,484,481,0.25,26,26
724219.9643968942,4628,4501,212,75,0.5,52,52
237857.75628658396,5576,5936,111,0,0.75,78,78
443634.8174745972,6064,6807,146,0,1,100,104
15867.61199969449,2595,2764,602,678,0.25,26,26
108878.74847850352,4247,4550,180,38,0.5,52,52
82191.63960763931,5361,5724,212,0,0.75,78,78
406933.8099440259,6285,6807,75,0,1,99,104
307929.5402998934,2726,2387,487,575,0.25,26,26
-353022.6259198688,4131,4021,334,75,0.5,52,52
-5363.307890776189,5575,5749,210,0,0.75,78,78
341745.455520734,6072,6807,75,0,1,101,104
21407.0974200599,2566,2464,609,502,0.25,26,26
-241051.8190196765,4395,4170,244,111,0.5,52,52
238908.83930208048,5626,5972,111,0,0.75,78,78
279075.4848814898,6282,6807,146,0,1,100,104
17166.42260787434,3066,2695,612,626,0.25,26,26
1174966.6763147586,4019,4501,335,74,0.5,52,52
-70551.89848007348,5572,5858,180,0,0.75,78,78
251670.77208784514,5944,6807,75,0,1,100,104
29599.56108242786,2389,2332,566,606,0.25,26,26
-899908.2416120376,4142,4461,276,75,0.5,52,52
