sum_of_errors,continuous_vertices,bikengrowth_vertices,continuous_disconnected_pairs,bikengrowth_disconnected_pairs,prune_quantile,continuous_abstract_edges,bikengrowth_abstract_edges
178909.24623472933,4275,4253,180,75,0.5,54,54
325150.707644471,5548,5915,38,0,0.75,80,80
298826.5155716456,6092,6807,0,0,1,98,104
-34423.92566720383,2510,2263,531,465,0.25,26,26
336605.4828001674,4416,4253,146,75,0.5,54,54
474512.45577080833,5452,5915,0,0,0.75,80,80
491702.068715164,6024,6807,0,0,1,97,104
-25229.477395529102,2507,2263,488,465,0.25,26,26
-22404.781901802024,3930,4253,213,75,0.5,54,54
150609.86968882772,4934,5915,75,0,0.75,80,80
198865.15858381428,6008,6807,0,0,1,101,104
-13986.787013728554,2326,2263,531,465,0.25,26,26
108113.26406663084,4537,4253,146,75,0.5,54,54
406138.78158307134,5690,5915,0,0,0.75,80,80
294372.3327195707,6078,6807,0,0,1,98,104
-82322.8796119134,2695,2263,551,465,0.25,26,26
-22250.392457838392,4293,4253,213,75,0.5,54,54
292775.0644462903,5635,5915,0,0,0.75,80,80
244022.85255432752,6174,6807,0,0,1,100,104
31661.249740044754,2278,2263,488,465,0.25,26,26
179072.6810134944,4457,4253,180,75,0.5,54,54
322828.3515429627,5568,5915,0,0,0.75,80,80
319309.08399111766,6320,6807,0,0,1,100,104
-23756.965767809153,2413,2263,510,465,0.25,26,26
14601.792786032622,4188,4253,146,75,0.5,54,54
216862.01220332648,5475,5915,75,0,0.75,80,80
273574.623400265,6162,6807,0,0,1,100,104
-45464.62236921038,2536,2263,465,465,0.25,26,26
194324.77966007625,4388,4253,146,75,0.5,54,54
389839.5067342812,5986,5915,0,0,0.75,80,80
355234.39671681734,6271,6807,0,0,1,95,104
-59152.586534328955,2524,2263,488,465,0.25,26,26
107357.78383400684,4501,4253,111,75,0.5,54,54
248143.09576607222,5432,5915,38,0,0.75,80,80
360861.09779896995,5925,6807,0,0,1,99,104
-19685.86480337556,2252,2263,488,465,0.25,26,26
199759.73838102169,4182,4253,111,75,0.5,54,54
344840.7343223515,5457,5915,0,0,0.75,80,80
348428.2941342366,6190,6807,0,0,1,100,104
95850.99363528556,2308,2263,441,465,0.25,26,26
163124.32500111518,4620,4253,111,75,0.5,54,54
285669.47106279345,5398,5915,0,0,0.75,80,80
229184.09830241118,6061,6807,0,0,1,98,104
-21867.932909833897,2267,2263,510,465,0.25,26,26
151464.0788627976,4176,4253,146,75,0.5,54,54
283382.52284020925,4970,5915,75,0,0.75,80,80
465007.54448468256,5877,6807,0,0,1,99,104
-43117.76811307363,2521,2263,510,465,0.25,26,26
169569.97531650393,4062,4253,75,75,0.5,54,54
337456.93592982955,5491,5915,38,0,0.75,80,80
418045.6214317097,5933,6807,0,0,1,100,104
49147.68704945199,2134,2263,465,465,0.25,26,26
34107.92423450321,4186,4253,146,75,0.5,54,54
401102.94049133273,5537,5915,0,0,0.75,80,80
219019.7491551464,6187,6807,0,0,1,98,104
32336.188283089276,2469,2263,488,465,0.25,26,26
22741.507483901583,4264,4253,146,75,0.5,54,54
523858.9053515456,5876,5915,0,0,0.75,80,80
474820.29322513315,6239,6807,0,0,1,100,104
-8211.55230029644,2639,2263,488,465,0.25,26,26
151181.66636719852,4388,4253,146,75,0.5,54,54
421781.7140350476,5303,5915,0,0,0.75,80,80
350891.346484635,6112,6807,0,0,1,100,104
4558.16806590938,2454,2263,465,465,0.25,26,26
94081.76348120758,4283,4253,180,75,0.5,54,54
299189.2092173128,5414,5915,38,0,0.75,80,80
418220.4735626575,5879,6807,0,0,1,98,104
