sum_of_errors,continuous_vertices,bikengrowth_vertices,continuous_disconnected_pairs,bikengrowth_disconnected_pairs,prune_quantile,continuous_abstract_edges,bikengrowth_abstract_edges
-21305.913870588247,2236,2263,510,465,0.25,26,26
123331.38351594393,3757,4253,111,75,0.5,54,54
142832.90610678584,5124,5915,111,0,0.75,80,80
144764.72285758433,6158,6807,38,0,1,101,104
3833.116011865659,2525,2263,465,465,0.25,26,26
92340.91426606213,4248,4253,146,75,0.5,54,54
237001.17066149076,5446,5915,38,0,0.75,80,80
209457.66731705095,6115,6807,0,0,1,101,104
1020.543287305366,2641,2263,488,465,0.25,26,26
17111.09587038578,4342,4253,180,75,0.5,54,54
252420.99805829625,5737,5915,0,0,0.75,80,80
173361.95883148664,6642,6807,0,0,1,101,104
-40564.76942624457,2416,2263,510,465,0.25,26,26
129603.6475162862,3774,4253,180,75,0.5,54,54
7437.8747975155675,5420,5915,146,0,0.75,80,80
92949.68067284004,5927,6807,38,0,1,100,104
-18950.376311330634,2164,2263,510,465,0.25,26,26
-6564.011990575358,4036,4253,180,75,0.5,54,54
23569.14378239712,5181,5915,111,0,0.75,80,80
119477.4157571022,6175,6807,38,0,1,99,104
-19719.962116680694,2273,2263,509,465,0.25,26,26
-11034.649927100927,4222,4253,213,75,0.5,54,54
74079.85883343541,5767,5915,75,0,0.75,80,80
346463.8611230699,6519,6807,0,0,1,100,104
2484.811739107943,2486,2263,488,465,0.25,26,26
57510.75902838283,4243,4253,213,75,0.5,54,54
115160.86236656524,5388,5915,75,0,0.75,80,80
170476.4108023456,6080,6807,38,0,1,102,104
-21406.00815631471,2244,2263,531,465,0.25,26,26
34997.274413005805,4158,4253,146,75,0.5,54,54
131703.91123361138,5446,5915,75,0,0.75,80,80
174922.0632558754,6092,6807,38,0,1,100,104
-34912.263876421064,2045,2263,551,465,0.25,26,26
248735.13694984737,3725,4253,180,75,0.5,54,54
106711.28386050145,5256,5915,75,0,0.75,80,80
170012.34753090993,5971,6807,38,0,1,102,104
-36937.514067404714,2177,2263,488,465,0.25,26,26
66600.17604233317,3952,4253,180,75,0.5,54,54
26355.41990505494,5287,5915,111,0,0.75,80,80
136903.69375307192,6129,6807,38,0,1,102,104
