sum_of_errors,continuous_vertices,bikengrowth_vertices,continuous_disconnected_pairs,bikengrowth_disconnected_pairs,prune_quantile,continuous_abstract_edges,bikengrowth_abstract_edges
123244.57104734186,4182,6807,551,0,1,96,104
-445116.70770406426,3411,2724,531,390,0.25,26,26
-521814.91411148675,4633,4121,488,75,0.5,52,52
60417.997236181705,5012,6023,465,0,0.75,77,78
134593.53617758473,5282,6807,465,0,1,96,104
-17949.65630320091,2617,2600,588,660,0.25,26,26
-447813.03461725445,4007,4531,531,38,0.5,52,52
-28548.34408972138,4368,5799,531,0,0.75,78,78
121538.054386046,4289,6807,531,0,1,97,104
-17251.867017715853,3082,2571,605,595,0.25,26,26
-469890.39366699936,4133,4314,510,75,0.5,52,52
-36160.50704363599,4458,5799,510,0,0.75,78,78
45779.51653431201,4972,6807,510,0,1,97,104
3847.6147086780657,3049,2300,531,625,0.25,26,26
-179851.8713202881,3842,4735,510,0,0.5,52,52
-888.0558992258048,4781,5862,488,0,0.75,77,78
58805.83146368637,4848,6807,488,0,1,96,104
-28433.785177772806,2401,2740,635,554,0.25,26,26
-351157.5016085517,3879,4122,551,38,0.5,52,52
-52199.83720040781,4154,5835,551,0,0.75,78,78
98642.5657559366,4152,6807,551,0,1,97,104
67372.21567562073,2728,2613,588,632,0.25,26,26
-222578.6177688745,3628,4914,570,0,0.5,52,52
14209.411917682537,4355,5786,531,0,0.75,77,78
132472.7929470585,4222,6807,531,0,1,96,104
-36706.54406872221,2888,2452,570,606,0.25,26,26
-366543.88872870576,4214,4368,510,111,0.5,52,52
6717.486952661442,4101,5828,510,0,0.75,77,78
96524.829959776,4216,6807,510,0,1,96,104
18329.563110522035,2878,2365,587,618,0.25,26,26
-78152.89403378441,3693,4264,551,111,0.5,52,52
-45856.68763159258,4394,5457,510,0,0.75,77,78
111187.2426058643,4177,6807,531,0,1,96,104
-352936.55016388063,3656,2713,510,483,0.25,26,26
-614536.1918935063,3936,4250,551,0,0.5,52,52
-17802.574507566922,4451,5814,510,0,0.75,76,78
66200.42964405143,4801,6807,510,0,1,95,104
-272816.25191004743,2939,3241,605,359,0.25,26,26
-527944.5732664601,3832,4233,531,38,0.5,52,52
2221.379674028649,4792,5890,510,0,0.75,77,78
171711.21147626298,4775,6807,510,0,1,96,104
87918.26530000565,3104,2370,570,654,0.25,26,26
-449357.7367121131,4293,4603,531,75,0.5,52,52
107036.54827293738,4257,5756,551,0,0.75,77,78
68285.51563960253,4927,6807,531,0,1,96,104
-54259.040224301934,2783,2549,674,505,0.25,26,26
-200658.44165142605,4047,4482,510,0,0.5,52,52
14262.145890098303,4562,5905,510,0,0.75,77,78
131883.26229942628,4572,6807,510,0,1,96,104
-31172.83079972766,2620,2690,551,552,0.25,26,26
-143126.45689543788,3957,4392,488,110,0.5,52,52
4831.3722296025535,4194,5892,510,0,0.75,77,78
81879.52824142655,4277,6807,510,0,1,96,104
-26955.513085837036,2484,2494,621,608,0.25,26,26
-329462.4389118869,3941,4730,531,0,0.5,52,52
14909.64325226043,4102,5842,531,0,0.75,76,78
130882.29688530273,4260,6807,510,0,1,95,104
-249157.00695614226,2611,2865,588,524,0.25,26,26
-592530.3516932196,4045,4338,551,75,0.5,52,52
-114902.01983037124,4440,5812,510,0,0.75,77,78
98248.71188116871,4456,6807,510,0,1,96,104
98609.0656354492,3057,2915,531,607,0.25,26,26
-486608.6854806963,4012,4132,510,38,0.5,52,52
-46419.0657079069,4426,5824,531,0,0.75,78,78
105077.1302686107,4737,6807,510,0,1,97,104
-7585.034433632285,2495,2589,635,633,0.25,26,26
-456551.0845276696,3822,4344,510,38,0.5,52,52
32493.154119176987,4171,5515,510,0,0.75,76,78
186204.2769743494,4400,6807,510,0,1,95,104
137292.22612571044,2660,2616,570,604,0.25,26,26
-98526.42055867075,3906,4382,570,38,0.5,52,52
-42568.2136954447,4380,5923,531,0,0.75,77,78
68390.28747242592,4496,6807,531,0,1,96,104
-30074.4549596372,3316,2437,510,596,0.25,26,26
-1531404.9303223537,4177,4622,465,0,0.5,52,52
-11011.58487108217,4670,5702,441,0,0.75,78,78
123130.94759602236,4780,6807,441,0,1,97,104
-50620.3570665839,2202,2715,636,540,0.25,26,26
-267921.04632617085,3287,4408,551,111,0.5,52,52
-65030.16751714479,4202,5824,551,0,0.75,77,78
38317.035728328556,4169,6807,551,0,1,96,104
5810.000100400472,2746,2514,643,655,0.25,26,26
-49407.94677670434,3847,4323,510,145,0.5,52,52
61765.052234929964,4477,5704,510,0,0.75,77,78
134925.92764954298,4683,6807,510,0,1,96,104
21319.88472603416,2693,2592,620,634,0.25,26,26
-435555.4955552011,3759,4439,551,38,0.5,52,52
38334.140503483075,4153,5705,510,0,0.75,77,78
121057.15085033937,4401,6807,510,0,1,96,104
27024.32724340269,2766,2789,665,553,0.25,26,26
-338890.4739828788,3738,4333,531,38,0.5,52,52
-38506.92399825189,4103,5717,510,0,0.75,76,78
124394.60935924391,4103,6807,510,0,1,95,104
26619.827136591404,2820,2548,635,652,0.25,26,26
-568289.4285465543,3898,4396,570,38,0.5,52,52
-112745.83265938179,4341,5652,531,0,0.75,78,78
172661.27462466175,4419,6807,531,0,1,98,104
-12301.5552746222,2753,2316,621,616,0.25,26,26
-574809.5407325089,3689,4313,531,38,0.5,52,52
84977.28254944924,3989,5701,531,0,0.75,77,78
83951.37645281584,4037,6807,531,0,1,96,104
-1948.9794002721164,2516,2386,635,634,0.25,26,26
-495235.8306642202,3606,4121,531,143,0.5,52,52
57820.31273643936,3675,5842,551,0,0.75,78,78
203114.4865583394,4260,6807,531,0,1,97,104
6913.759013366045,2685,2970,570,583,0.25,26,26
-395004.5158836556,4329,4774,551,0,0.5,52,52
52929.25075243921,4474,5841,531,0,0.75,76,78
142249.55249072288,4705,6807,531,0,1,95,104
98121.50676484348,2947,2724,605,566,0.25,26,26
-258367.51974712833,4156,4170,510,111,0.5,52,52
57982.43876103015,4399,5643,510,0,0.75,77,78
168037.38861844383,4753,6807,510,0,1,96,104
-90515.93447080062,2803,2849,570,544,0.25,26,26
-255598.1861213246,3768,4563,551,75,0.5,52,52
35363.20803478069,4288,5677,531,0,0.75,77,78
147222.51694173762,4186,6807,531,0,1,96,104
58894.952519081824,2639,2194,531,679,0.25,26,26
-79809.33681054402,3571,4832,531,0,0.5,52,52
-29672.109776784793,4014,5719,551,0,0.75,77,78
52584.220405610875,4044,6807,531,0,1,96,104
-128110.67477120105,3163,3031,605,544,0.25,26,26
-164544.33012724866,3883,4554,531,38,0.5,52,52
110300.77926303669,4217,5861,510,0,0.75,78,78
140328.66488539355,4206,6807,531,0,1,97,104
-10066.007124480922,2419,2596,665,558,0.25,26,26
-249832.45760480064,3948,4478,551,38,0.5,52,52
-93543.15409953686,4543,5732,570,0,0.75,78,78
35551.54803339026,4606,6807,551,0,1,97,104
14996.455255992008,2261,2627,602,641,0.25,26,26
99299.75304537328,3263,4266,531,146,0.5,52,52
-43328.26820225624,3927,5884,510,0,0.75,77,78
44818.37449823973,3981,6807,510,0,1,96,104
86010.04147059846,2350,2711,621,593,0.25,26,26
-81854.46831171056,3928,4423,551,38,0.5,52,52
37154.28974498609,4325,5931,531,0,0.75,77,78
81030.07606703052,4282,6807,551,0,1,96,104
283.5291963996906,2758,2782,570,557,0.25,26,26
-387809.3827512124,3940,4293,510,0,0.5,52,52
35392.00081570659,4169,5897,510,0,0.75,78,78
167778.7608438947,4375,6807,510,0,1,97,104
83.31231210372016,2853,2703,588,518,0.25,26,26
-22025.662868033713,4121,4479,488,38,0.5,52,52
82331.82193614688,4699,5777,465,38,0.75,77,78
296353.86436096684,4941,6807,465,0,1,96,104
-6451.293313280959,2623,2465,635,586,0.25,26,26
-386726.5251830335,4009,4699,587,110,0.5,52,52
38893.45057949896,4232,6000,551,0,0.75,77,78
65531.76383803145,4623,6807,551,0,1,96,104
77318.35135027977,2880,2666,570,584,0.25,26,26
-283450.6184896737,4395,4415,531,75,0.5,52,52
-111144.15299625772,4474,5700,531,0,0.75,77,78
53819.6562677559,4736,6807,531,0,1,96,104
69790.42501671704,3006,2363,531,673,0.25,26,26
-73384.01033558072,3776,4131,551,261,0.5,52,52
-163719.47620461474,4040,5631,510,0,0.75,77,78
28316.889042510036,4203,6807,510,0,1,96,104
-13314.926470852924,2809,3014,570,586,0.25,26,26
175575.89998557873,3409,4701,531,209,0.5,52,52
-28842.672191865982,3985,6042,531,0,0.75,78,78
108780.78198292143,4009,6807,531,0,1,97,104
-305066.61715750024,2548,2911,570,516,0.25,26,26
-343123.537635227,4056,4519,510,180,0.5,52,52
-2224.2433633787978,4211,5507,510,0,0.75,78,78
160754.92482514225,4223,6807,510,0,1,97,104
31010.48827016198,2814,2856,588,587,0.25,26,26
-1032677.5608934694,4144,4228,510,0,0.5,52,52
25258.645531541173,4372,5709,510,0,0.75,76,78
89958.59642745598,4527,6807,510,0,1,95,104
-156840.19789179642,2958,2451,649,462,0.25,26,26
-344597.746024372,3917,4407,531,111,0.5,52,52
-74975.51317840918,4370,5699,551,0,0.75,77,78
62766.483547374584,4474,6807,551,0,1,96,104
11341.18387484205,2868,2518,570,619,0.25,26,26
-365124.2910849221,3276,4384,551,38,0.5,52,52
39799.480259987795,3924,5958,510,0,0.75,78,78
209422.85083723653,4065,6807,510,0,1,97,104
85647.49830653818,2802,2633,588,616,0.25,26,26
-277658.8355769142,3862,4525,531,0,0.5,52,52
57573.258386901696,3965,5755,531,0,0.75,78,78
134416.53424336828,4260,6807,531,0,1,97,104
92946.52179629017,2854,2947,531,610,0.25,26,26
-38948.92350436149,3813,4409,488,206,0.5,52,52
-108793.40492969257,4785,5705,465,0,0.75,77,78
114134.01133640624,5068,6807,465,0,1,96,104
69623.83926631024,2483,2364,588,637,0.25,26,26
-216645.40689033232,3650,4442,570,75,0.5,52,52
-58930.673748824316,4265,5734,570,0,0.75,78,78
81228.64945490561,4459,6807,551,0,1,97,104
16307.521681818595,2724,2659,531,642,0.25,26,26
-70542.87170412831,4531,4558,488,0,0.5,52,52
426.8145263011902,5253,5947,488,0,0.75,78,78
162884.87916708775,5092,6807,488,0,1,98,104
191734.95371821488,2905,2481,570,621,0.25,26,26
-74682.60962278121,3720,4427,588,38,0.5,52,52
83643.59092256567,4752,5973,551,0,0.75,78,78
125169.17932999086,4881,6807,551,0,1,97,104
8530.126866703185,2349,2378,570,671,0.25,26,26
-426098.14134303766,3335,4656,510,111,0.5,52,52
-9834.751197572,3855,5835,510,0,0.75,77,78
118937.05209904176,4060,6807,510,0,1,96,104
659.0820014531892,2965,2698,570,542,0.25,26,26
70115.20125484384,3684,4429,531,108,0.5,52,52
15851.19045326918,4141,5726,510,0,0.75,78,78
201735.46749781346,4220,6807,510,0,1,97,104
41997.8449445889,2553,2773,587,554,0.25,26,26
-213687.3467083663,3690,4429,531,110,0.5,52,52
3367.198196641133,4146,6004,531,0,0.75,77,78
88412.02127459813,4189,6807,531,0,1,96,104
91653.13294718027,3104,2394,510,659,0.25,26,26
-262516.8057866006,4181,4430,510,75,0.5,52,52
58300.049563769906,4587,5944,510,0,0.75,77,78
87031.60170052195,4872,6807,510,0,1,96,104
-50771.13996594686,3344,2882,640,458,0.25,26,26
-7259.0262504229895,4181,4272,510,146,0.5,52,52
68149.37774619542,4180,5822,531,0,0.75,78,78
182202.31625113336,5105,6807,488,0,1,97,104
7741.15361102391,2914,2943,588,691,0.25,26,26
-104219.09675010099,3993,4567,551,38,0.5,52,52
-5722.69723550109,4182,5844,551,0,0.75,77,78
169614.63277650252,4136,6807,551,0,1,96,104
81731.64467445326,2646,2790,570,543,0.25,26,26
14145.764564426001,3727,4643,510,238,0.5,52,52
104548.30939716888,4414,5844,510,0,0.75,78,78
130255.28588210468,4656,6807,510,0,1,97,104
3557.8653226048154,2755,3016,551,477,0.25,26,26
-546555.3027125776,3850,4623,510,75,0.5,52,52
124171.86486841651,4464,5997,510,0,0.75,78,78
160903.93606568215,4787,6807,488,0,1,97,104
-58693.41805703771,2984,2630,621,608,0.25,26,26
-150559.82963116217,4404,4510,510,38,0.5,52,52
-5592.0193999614585,4315,5989,510,0,0.75,78,78
80241.8021118681,4613,6807,510,0,1,97,104
3052.003294729374,3062,2618,570,657,0.25,26,26
-328196.71777934843,4596,4831,465,38,0.5,52,52
143732.00360821479,4501,6045,441,0,0.75,78,78
221225.56892380753,4719,6807,441,0,1,97,104
-18445.254028716205,2684,2291,588,559,0.25,26,26
5889.356994060316,3777,4667,551,75,0.5,52,52
-68537.3968397687,4360,5730,551,0,0.75,77,78
-7887.1558581761465,4594,6807,551,0,1,96,104
-53642.08862273016,2336,2763,588,519,0.25,26,26
-186466.75002074984,3289,4585,551,75,0.5,52,52
-30883.013568010276,4055,5750,531,38,0.75,78,78
85844.9776396675,4100,6807,531,0,1,97,104
23879.89418258225,2690,2409,551,658,0.25,26,26
-877330.2798802821,3514,4411,531,38,0.5,52,52
-157196.95425316857,4213,5886,488,0,0.75,77,78
65536.09087395539,4021,6807,510,0,1,96,104
15413.832436139162,2977,2917,604,636,0.25,26,26
-394814.3617430928,4023,4527,531,75,0.5,52,52
21653.161002690067,4479,5805,531,0,0.75,76,78
105454.63195305318,4634,6807,531,0,1,95,104
-681.4665658019258,2871,2525,629,623,0.25,26,26
-766912.6512083188,3897,4300,531,38,0.5,52,52
81877.39713403699,4500,5879,488,0,0.75,77,78
136668.10621494614,4641,6807,488,0,1,96,104
98486.55903473681,2983,2519,588,665,0.25,26,26
-395378.18638317095,3953,4410,570,38,0.5,52,52
-34602.34865962061,4278,5908,531,0,0.75,78,78
144049.43464191296,4437,6807,531,0,1,97,104
287466.7923832125,3491,2719,531,560,0.25,26,26
-612008.2558168222,3597,4704,551,0,0.5,52,52
-139124.26538032838,4587,5700,510,0,0.75,78,78
51320.28976804482,4534,6807,510,0,1,98,104
-23451.054816665288,2292,2470,690,556,0.25,26,26
75358.6388620526,3367,4256,531,143,0.5,52,52
1183.3981857992608,3824,5802,551,0,0.75,77,78
143797.7301328415,3709,6807,551,0,1,96,104
-19470.57897659293,3245,2544,570,630,0.25,26,26
148099.68327409515,3425,4203,531,207,0.5,52,52
-41360.61063440022,4224,5786,531,38,0.75,78,78
92879.34760866137,4207,6807,531,0,1,97,104
25597.62160594626,2722,2689,588,613,0.25,26,26
-207804.06391805445,3181,4505,570,111,0.5,52,52
-157851.4655542406,4281,5691,551,0,0.75,78,78
45268.49748693482,4336,6807,551,0,1,97,104
2187.202168648212,2784,2370,588,651,0.25,26,26
-293681.2858768124,3817,4099,551,198,0.5,52,52
-164975.67445366908,4236,5836,510,0,0.75,77,78
75372.73883998925,4442,6807,510,0,1,96,104
-242997.57665025472,2467,2562,605,498,0.25,26,26
-387006.3899099094,3606,4623,551,38,0.5,52,52
-138882.2984557831,4376,5861,510,0,0.75,77,78
1631.277919270251,4436,6807,531,0,1,96,104
-41863.184897216524,3152,2561,621,616,0.25,26,26
-496037.44610525237,3809,4748,531,0,0.5,52,52
-83355.35040919196,4308,5808,510,0,0.75,76,78
107284.32340952169,4314,6807,510,0,1,95,104
68392.45716005722,3048,2529,570,555,0.25,26,26
-263792.5096653764,3612,4458,551,38,0.5,52,52
-6398.409219653839,3841,5916,531,0,0.75,78,78
55283.805172862194,4048,6807,531,0,1,97,104
74820.67748940135,2359,2814,605,630,0.25,26,26
-206871.52908895453,4458,4669,465,248,0.5,52,52
-83836.24607416669,4934,5552,465,0,0.75,78,78
95554.73990261497,4941,6807,465,0,1,97,104
127231.830301887,2062,2427,636,595,0.25,26,26
-50.54404827502594,3398,4327,510,38,0.5,52,52
6470.4698616324185,4013,5830,510,0,0.75,75,78
164164.57809574777,4037,6807,510,0,1,94,104
81605.57359988663,3042,2420,510,657,0.25,26,26
-411908.4789846122,3654,4376,465,75,0.5,52,52
16766.644680070563,4206,5811,488,0,0.75,78,78
239342.48740518276,4592,6807,441,0,1,97,104
48451.79686956671,2296,2726,570,590,0.25,26,26
-151399.51269085487,3707,4383,488,74,0.5,52,52
-90800.13327049039,4199,5737,488,0,0.75,78,78
57254.51493273781,4320,6807,465,0,1,97,104
-204806.3336974223,2566,2820,531,436,0.25,26,26
-668110.2335820488,3812,4345,510,75,0.5,52,52
48875.26004207025,3946,5706,510,0,0.75,78,78
45620.792321913104,4272,6807,510,0,1,97,104
-53149.544906247196,2654,2604,551,589,0.25,26,26
-238311.1215378046,3827,4563,551,75,0.5,52,52
-63562.497019857336,3972,5913,551,0,0.75,78,78
88805.67977771761,4165,6807,551,0,1,97,104
-79441.72247583253,3040,2821,588,555,0.25,26,26
-269377.3082814917,4382,4503,531,0,0.5,52,52
208945.74098991533,4610,5731,465,0,0.75,78,78
301589.57118843414,4827,6807,465,0,1,97,104
7530.747829746704,3132,2505,588,668,0.25,26,26
-431331.3287769737,3928,4573,531,38,0.5,52,52
-142184.6615350083,4393,5687,488,0,0.75,77,78
54907.13819589997,4581,6807,488,0,1,96,104
-3294.8942811826955,2806,2347,604,658,0.25,26,26
-1739935.7240212497,4028,4567,465,0,0.5,52,52
-29927.67546437776,4395,5826,465,0,0.75,77,78
114734.78218830116,4460,6807,465,0,1,96,104
-97428.23140259649,2432,2567,615,494,0.25,26,26
-392830.1455685553,3399,4370,570,38,0.5,52,52
8637.251673883864,4122,5975,531,0,0.75,78,78
73503.00876645495,4257,6807,531,0,1,97,104
-10238.797019222657,2373,2510,621,604,0.25,26,26
-152719.17552580332,3282,4948,570,38,0.5,52,52
-93204.54589755234,3593,5588,551,0,0.75,77,78
43399.16143834332,3906,6807,551,0,1,96,104
-11993.024274450872,2684,2680,570,505,0.25,26,26
-142675.40002975526,3608,4485,510,108,0.5,52,52
-6287.442535795512,4410,5814,510,0,0.75,78,78
68874.61327596809,4428,6807,510,0,1,97,104
-38694.69123896749,2726,2479,588,633,0.25,26,26
-506935.90828380326,3661,4148,531,38,0.5,52,52
