sum_of_errors,continuous_vertices,bikengrowth_vertices,continuous_disconnected_pairs,bikengrowth_disconnected_pairs,prune_quantile,continuous_abstract_edges,bikengrowth_abstract_edges
-973.3678324812836,2133,2263,531,465,0.25,26,26
155926.96559409949,4021,4253,146,75,0.5,54,54
51526.27163636284,5580,5915,75,0,0.75,80,80
92520.33385736543,6595,6807,38,0,1,103,104
-54046.47852944897,2197,2263,488,465,0.25,26,26
-27906.07858252378,4197,4253,146,75,0.5,54,54
26675.977771402595,5697,5915,111,0,0.75,80,80
33841.41584994857,6753,6807,38,0,1,103,104
-70971.0861505888,2071,2263,570,465,0.25,26,26
129642.63768401812,3952,4253,146,75,0.5,54,54
-66642.20814134108,5430,5915,146,0,0.75,80,80
-8508.034021539654,6396,6807,38,0,1,103,104
-30375.42916047669,2405,2263,465,465,0.25,26,26
12965.498475455908,4180,4253,180,75,0.5,54,54
-14799.330153859002,5514,5915,146,0,0.75,80,80
-10757.657113078969,6644,6807,111,0,1,104,104
42765.487121221,2094,2263,488,465,0.25,26,26
-110582.27416732584,4022,4253,245,75,0.5,54,54
38142.56967173801,5385,5915,111,0,0.75,80,80
84873.24624409997,6335,6807,38,0,1,103,104
16187.819432781842,2219,2263,488,465,0.25,26,26
37270.564826600006,4045,4253,213,75,0.5,54,54
77195.40264820005,5511,5915,146,0,0.75,80,80
30668.824930921197,6422,6807,111,0,1,104,104
13270.24797715427,2256,2263,465,465,0.25,26,26
-12126.781994219564,3781,4253,245,75,0.5,54,54
64977.942612881176,5543,5915,146,0,0.75,80,80
34715.16616543879,6436,6807,75,0,1,103,104
-76011.51997105268,2161,2263,551,465,0.25,26,26
11989.901250592615,4123,4253,180,75,0.5,54,54
87870.3834570534,5272,5915,111,0,0.75,80,80
-10817.54654882811,6315,6807,75,0,1,102,104
-65627.41051334536,2152,2263,530,465,0.25,26,26
55219.23653434162,4084,4253,146,75,0.5,54,54
-2039.338071869924,5554,5915,75,0,0.75,80,80
14383.51022418536,6433,6807,0,0,1,102,104
-101892.75966730277,2423,2263,531,465,0.25,26,26
-14270.221687787256,4446,4253,111,75,0.5,54,54
104372.4580652135,5892,5915,38,0,0.75,80,80
152739.04226417883,6547,6807,0,0,1,102,104
-67450.4085548558,2235,2263,531,465,0.25,26,26
16926.811619589527,4111,4253,146,75,0.5,54,54
-68355.0120305646,5370,5915,111,0,0.75,80,80
-45170.67815167508,6281,6807,111,0,1,104,104
-43169.160911964136,2408,2263,530,465,0.25,26,26
170797.6616399345,4078,4253,111,75,0.5,54,54
2473.626649388435,5409,5915,75,0,0.75,80,80
53362.22759084472,6511,6807,38,0,1,104,104
-53473.67944841113,2234,2263,551,465,0.25,26,26
-51365.965211014714,4083,4253,245,75,0.5,54,54
70988.64393103015,5628,5915,111,0,0.75,80,80
21878.686389571078,6540,6807,38,0,1,101,104
-54090.572575185724,2318,2263,488,465,0.25,26,26
-110953.2279281888,4127,4253,180,75,0.5,54,54
-17213.586804644336,5573,5915,111,0,0.75,80,80
1224.0582895556431,6504,6807,75,0,1,103,104
-58113.42582306481,2304,2263,550,465,0.25,26,26
74909.84738624483,3868,4253,180,75,0.5,54,54
17975.94615246018,5388,5915,146,0,0.75,80,80
16417.52856890502,6162,6807,146,0,1,102,104
-20480.94329739606,2214,2263,531,465,0.25,26,26
14601.86859433951,4170,4253,146,75,0.5,54,54
53088.78839703702,5436,5915,146,0,0.75,80,80
89310.44471796679,6772,6807,38,0,1,103,104
0.0,2305,2263,488,465,0.25,26,26
58159.62648692337,3630,4253,213,75,0.5,54,54
-14015.446579497257,5001,5915,146,0,0.75,80,80
49501.22033414176,6275,6807,111,0,1,101,104
68368.19213148278,2353,2263,488,465,0.25,26,26
-54395.86873962409,4199,4253,146,75,0.5,54,54
58524.26995712785,5664,5915,38,0,0.75,80,80
169123.98322679606,6601,6807,0,0,1,103,104
-17746.209895732805,2150,2263,531,465,0.25,26,26
134738.65316304416,4143,4253,111,75,0.5,54,54
24996.527333816855,5672,5915,75,0,0.75,80,80
23138.857505294574,6473,6807,38,0,1,103,104
-12645.1799923236,2300,2263,510,465,0.25,26,26
-107509.86291478554,4132,4253,245,75,0.5,54,54
-9239.696664931209,5571,5915,111,0,0.75,80,80
-9294.502514861395,6394,6807,75,0,1,103,104
13688.698936529769,2195,2263,488,465,0.25,26,26
148398.13667104347,3800,4253,146,75,0.5,54,54
60800.22800194776,5275,5915,75,0,0.75,80,80
-21625.97083316595,6187,6807,146,0,1,103,104
-89387.90252591218,2319,2263,531,465,0.25,26,26
102986.84764086727,4243,4253,111,75,0.5,54,54
130609.14459536124,5771,5915,75,0,0.75,80,80
161208.42441464905,6386,6807,0,0,1,101,104
87388.85065176246,2265,2263,465,465,0.25,26,26
46625.93242890748,4365,4253,146,75,0.5,54,54
76098.7824381133,5831,5915,75,0,0.75,80,80
54057.5117910627,6759,6807,38,0,1,102,104
-18456.34302206395,2259,2263,488,465,0.25,26,26
107854.80886616465,3850,4253,180,75,0.5,54,54
-10752.480457968459,5421,5915,146,0,0.75,80,80
3167.6391971522253,6247,6807,75,0,1,101,104
-60105.18969142331,2265,2263,510,465,0.25,26,26
16231.79925515872,4080,4253,213,75,0.5,54,54
-6872.4930100392985,5520,5915,111,0,0.75,80,80
51776.45284031441,6456,6807,38,0,1,103,104
-6537.133592678265,2329,2263,488,465,0.25,26,26
90932.50589251725,4008,4253,180,75,0.5,54,54
40470.49716594473,5403,5915,111,0,0.75,80,80
80644.37099169537,6386,6807,38,0,1,101,104
2285.460902121031,2525,2263,488,465,0.25,26,26
-37090.74895931483,4102,4253,245,75,0.5,54,54
54506.79172198102,5519,5915,180,0,0.75,80,80
83708.09239229247,6250,6807,111,0,1,101,104
-27316.995866563095,2065,2263,531,465,0.25,26,26
77387.70189133204,3995,4253,146,75,0.5,54,54
54527.09789863498,5561,5915,75,0,0.75,80,80
86393.13795070724,6457,6807,38,0,1,104,104
-33911.31952317589,2282,2263,510,465,0.25,26,26
66332.71818923551,4222,4253,146,75,0.5,54,54
125166.11233062371,5497,5915,38,0,0.75,80,80
212076.81442015566,6367,6807,0,0,1,102,104
-56087.10073147445,2250,2263,531,465,0.25,26,26
137098.19467908057,3843,4253,213,75,0.5,54,54
-40358.0618395029,5225,5915,180,0,0.75,80,80
44533.13878817799,6205,6807,38,0,1,101,104
93841.09975453542,2266,2263,465,465,0.25,26,26
55288.87171037857,3813,4253,146,75,0.5,54,54
10833.290547947836,5278,5915,111,0,0.75,80,80
-762.7985249403232,6409,6807,75,0,1,104,104
-135268.28556280994,2392,2263,551,465,0.25,26,26
-38865.40505999335,4335,4253,180,75,0.5,54,54
18948.402685196357,5585,5915,75,0,0.75,80,80
142242.67325365008,6408,6807,0,0,1,102,104
-30594.456780978973,2362,2263,510,465,0.25,26,26
50915.12746519105,3993,4253,146,75,0.5,54,54
-9229.240924590184,5247,5915,146,0,0.75,80,80
-3253.4006362495,6114,6807,111,0,1,102,104
-18794.358856504456,2424,2263,510,465,0.25,26,26
119970.1716526775,4378,4253,111,75,0.5,54,54
91675.64516751192,5641,5915,111,0,0.75,80,80
146762.17029102374,6624,6807,38,0,1,102,104
27108.62111433648,2261,2263,488,465,0.25,26,26
50287.52920669815,4046,4253,180,75,0.5,54,54
96544.50152111867,5647,5915,75,0,0.75,80,80
143390.14021649037,6520,6807,38,0,1,103,104
32596.513052309903,2367,2263,465,465,0.25,26,26
149588.44212218607,4294,4253,180,75,0.5,54,54
83765.63299784268,5940,5915,111,0,0.75,80,80
154021.23198544086,6596,6807,0,0,1,101,104
-20596.369765968397,2276,2263,465,465,0.25,26,26
11832.39089815138,4080,4253,180,75,0.5,54,54
-25656.122571857893,5591,5915,146,0,0.75,80,80
17658.999472647665,6296,6807,111,0,1,101,104
-12522.057461691438,2269,2263,488,465,0.25,26,26
31503.035101522284,3756,4253,245,75,0.5,54,54
32873.45097833226,5349,5915,180,0,0.75,80,80
7995.179059768714,6216,6807,111,0,1,103,104
-3092.3069159293527,2310,2263,488,465,0.25,26,26
161734.31325739174,4398,4253,75,75,0.5,54,54
170396.2930722553,5673,5915,38,0,0.75,80,80
73446.97600792743,6568,6807,38,0,1,102,104
-23729.349480025197,2141,2263,510,465,0.25,26,26
38460.708672348,3909,4253,180,75,0.5,54,54
1564.6984315422742,5505,5915,111,0,0.75,80,80
23592.49848565329,6367,6807,75,0,1,103,104
-105642.45153007636,2346,2263,550,465,0.25,26,26
55402.97865984168,3771,4253,180,75,0.5,54,54
-29458.23459310925,5325,5915,213,0,0.75,80,80
-14906.947716952138,6161,6807,180,0,1,101,104
17776.51530790964,2201,2263,465,465,0.25,26,26
18988.22931988411,3706,4253,245,75,0.5,54,54
41669.82781570478,5305,5915,111,0,0.75,80,80
-24166.46887992897,6438,6807,75,0,1,104,104
-5664.754921323916,2093,2263,550,465,0.25,26,26
-19850.60820953563,3980,4253,213,75,0.5,54,54
28432.952515079927,5429,5915,111,0,0.75,80,80
123070.31607068202,6334,6807,38,0,1,102,104
-138886.79383404535,2335,2263,551,465,0.25,26,26
-42671.60975763941,4285,4253,146,75,0.5,54,54
72984.20485852988,5589,5915,75,0,0.75,80,80
76811.49275662935,6577,6807,38,0,1,103,104
17776.51530790964,2114,2263,488,465,0.25,26,26
57946.12207125794,4091,4253,146,75,0.5,54,54
190717.67477276566,5544,5915,38,0,0.75,80,80
105001.74890972965,6556,6807,75,0,1,104,104
1735.9920879340816,2135,2263,488,465,0.25,26,26
-12763.670460611398,4033,4253,146,75,0.5,54,54
113035.6886641978,5606,5915,111,0,0.75,80,80
48922.26435873231,6542,6807,111,0,1,103,104
-16692.450376911605,2223,2263,510,465,0.25,26,26
23078.410284477373,4205,4253,180,75,0.5,54,54
38694.01079653177,5680,5915,75,0,0.75,80,80
48906.80261706402,6463,6807,75,0,1,103,104
27069.158367293345,2264,2263,510,465,0.25,26,26
36670.68211009296,4078,4253,146,75,0.5,54,54
-442.20882518301323,5403,5915,75,0,0.75,80,80
54811.54439668595,6393,6807,38,0,1,102,104
28275.61715406848,2044,2263,510,465,0.25,26,26
15049.582887173958,3733,4253,213,75,0.5,54,54
17860.597630350436,5168,5915,180,0,0.75,80,80
104760.08632998384,6294,6807,0,0,1,103,104
-30445.577080468433,2294,2263,510,465,0.25,26,26
-70029.11183902677,4166,4253,146,75,0.5,54,54
-51787.95856486045,5468,5915,146,0,0.75,80,80
-10191.036393933786,6574,6807,75,0,1,104,104
-52465.40770775977,2371,2263,587,465,0.25,26,26
160421.5506984611,4119,4253,180,75,0.5,54,54
53336.06035638874,5398,5915,146,0,0.75,80,80
90619.61900420547,6434,6807,38,0,1,101,104
-57282.25260171782,2060,2263,551,465,0.25,26,26
29480.737364957524,3940,4253,180,75,0.5,54,54
-12145.828234123628,5279,5915,146,0,0.75,80,80
-39961.77639086143,6504,6807,111,0,1,103,104
18037.921047939795,2353,2263,510,465,0.25,26,26
73916.55601378024,4262,4253,180,75,0.5,54,54
62092.18825817469,5834,5915,146,0,0.75,80,80
45664.739312489124,6603,6807,75,0,1,102,104
-20654.788107747532,2416,2263,510,465,0.25,26,26
36912.97813379699,4124,4253,180,75,0.5,54,54
-5372.636384730482,5362,5915,146,0,0.75,80,80
87926.26707052969,6371,6807,75,0,1,101,104
-4871.221584718111,2024,2263,531,465,0.25,26,26
90934.40714855862,3702,4253,245,75,0.5,54,54
54917.44123258027,5351,5915,111,0,0.75,80,80
98537.84753991422,6099,6807,75,0,1,104,104
20824.699844184688,2200,2263,531,465,0.25,26,26
51360.78620461299,4054,4253,180,75,0.5,54,54
59341.40175509124,5450,5915,38,0,0.75,80,80
162406.02782451682,6517,6807,0,0,1,103,104
-58619.69806665338,2195,2263,510,465,0.25,26,26
54822.99411530582,3890,4253,180,75,0.5,54,54
58207.373676519695,5270,5915,111,0,0.75,80,80
139718.29504384098,6348,6807,0,0,1,104,104
-43763.81480986105,2563,2263,465,465,0.25,26,26
43124.022549148955,4303,4253,146,75,0.5,54,54
57922.18491765225,5884,5915,75,0,0.75,80,80
4914.756724959817,6684,6807,38,0,1,102,104
-1915.687633886656,2239,2263,488,465,0.25,26,26
72816.12654668387,3700,4253,180,75,0.5,54,54
13163.254226771387,5270,5915,146,0,0.75,80,80
150332.08584679305,6088,6807,111,0,1,104,104
11332.803737641803,2068,2263,509,465,0.25,26,26
-6605.143385652953,3965,4253,180,75,0.5,54,54
1459.1108068060103,5393,5915,111,0,0.75,80,80
98407.02404139515,6356,6807,0,0,1,103,104
18525.204489583368,2136,2263,531,465,0.25,26,26
-73283.38204305612,4136,4253,180,75,0.5,54,54
54805.72941828198,5590,5915,111,0,0.75,80,80
141920.25127316336,6380,6807,38,0,1,101,104
-30906.72034516626,2274,2263,550,465,0.25,26,26
-42633.968998722834,3912,4253,213,75,0.5,54,54
-36530.10638781842,5357,5915,146,0,0.75,80,80
44918.823493309814,6210,6807,75,0,1,101,104
-3865.0958464547266,2391,2263,488,465,0.25,26,26
139799.81387161452,4103,4253,146,75,0.5,54,54
65549.0250789198,5492,5915,111,0,0.75,80,80
6944.856869061457,6816,6807,38,0,1,104,104
31513.679567070452,2408,2263,465,465,0.25,26,26
80764.51108569962,4219,4253,180,75,0.5,54,54
118673.68962600386,5702,5915,111,0,0.75,80,80
33194.80894451224,6538,6807,111,0,1,103,104
-32165.495120645573,2234,2263,510,465,0.25,26,26
28817.532785599455,4033,4253,111,75,0.5,54,54
-24020.229219923436,5432,5915,75,0,0.75,80,80
-40196.51293196783,6617,6807,38,0,1,104,104
-14990.49824211121,2232,2263,510,465,0.25,26,26
121483.4718507366,4112,4253,75,75,0.5,54,54
52244.01913354564,5620,5915,38,0,0.75,80,80
116090.81036418164,6436,6807,38,0,1,104,104
-19118.44203739461,2502,2263,465,465,0.25,26,26
13586.761272237029,4460,4253,180,75,0.5,54,54
29935.03057137385,5631,5915,146,0,0.75,80,80
77178.14029132789,6404,6807,75,0,1,102,104
15228.617222354911,2362,2263,510,465,0.25,26,26
-98903.04844413963,4093,4253,213,75,0.5,54,54
-34022.797109744344,5509,5915,146,0,0.75,80,80
21065.32732453091,6414,6807,111,0,1,101,104
-15489.336564337018,2071,2263,531,465,0.25,26,26
108122.88699769214,3849,4253,146,75,0.5,54,54
38589.94925230903,5390,5915,111,0,0.75,80,80
15301.116939398225,6298,6807,75,0,1,101,104
-27940.982099842622,2290,2263,530,465,0.25,26,26
76735.55941060164,3933,4253,180,75,0.5,54,54
-28873.445536904,5445,5915,146,0,0.75,80,80
57525.73527431379,6480,6807,75,0,1,102,104
5264.5146047820845,2184,2263,488,465,0.25,26,26
