sum_of_errors,continuous_vertices,bikengrowth_vertices,continuous_disconnected_pairs,bikengrowth_disconnected_pairs,prune_quantile,continuous_abstract_edges,bikengrowth_abstract_edges
-48.15673803970276,2538,2767,645,654,0.25,26,26
-1419388.762528656,4451,4294,146,75,0.5,52,52
38068.01920427731,5064,5634,180,0,0.75,78,78
229133.39394138838,5735,6807,75,0,1,101,104
28700.25616029044,3078,2394,551,654,0.25,26,26
-344536.33479377005,4628,4642,180,0,0.5,52,52
-37677.038376897086,5546,5670,146,0,0.75,78,78
51539.053367953486,6357,6807,180,0,1,103,104
-76164.68907589327,2527,2551,632,485,0.25,26,26
-1021942.7877500936,4299,4652,245,0,0.5,52,52
-133321.23742086033,5705,5778,146,0,0.75,78,78
124109.62870350659,6108,6807,180,0,1,101,104
124354.8369053461,3052,2434,458,551,0.25,26,26
-67647.24032533777,4386,4565,213,38,0.5,52,52
33870.77685209826,5510,5634,111,0,0.75,78,78
114025.89580104081,6237,6807,146,0,1,100,104
2173.9942887765046,2533,2978,591,604,0.25,26,26
-1076403.5539936027,4205,4197,146,0,0.5,52,52
60365.94592522066,5124,5645,180,0,0.75,78,78
295586.94063703425,6041,6807,111,0,1,102,104
-25282.576714712035,3048,2779,626,600,0.25,26,26
-405975.5739154603,4470,4359,245,74,0.5,52,52
309362.5740420819,5277,5908,146,0,0.75,78,78
90821.48380841609,6036,6807,245,0,1,101,104
-8222.949990361836,2712,2256,644,654,0.25,26,26
194697.80559260133,4284,4826,180,75,0.5,52,52
94774.21983884893,5730,5837,111,0,0.75,78,78
35943.73431761052,6248,6807,111,0,1,100,104
133104.39392019482,2751,2281,529,541,0.25,26,26
-295366.5221733094,4190,4484,276,75,0.5,52,52
48839.995797070376,5339,5492,146,0,0.75,78,78
173765.49819496635,6234,6807,146,0,1,100,104
-6750.6530340641,2662,2448,583,603,0.25,26,26
893303.8101516619,4401,4658,146,38,0.5,52,52
-94340.25233307552,5341,5745,111,0,0.75,78,78
188040.85931389904,6073,6807,146,0,1,98,104
-71115.9078876588,2855,2931,637,334,0.25,26,26
-488692.46726619516,4746,4429,213,145,0.5,52,52
-219655.7105032237,5815,5884,111,0,0.75,78,78
91263.38413742365,6486,6807,146,0,1,100,104
-16133.90129419421,2565,2642,606,592,0.25,26,26
-48802.99602521758,4646,4662,111,0,0.5,52,52
-129637.43378163595,5522,5676,213,0,0.75,78,78
161879.4685001215,6206,6807,146,0,1,101,104
19089.059042350505,2692,2610,605,660,0.25,26,26
-644819.9134450657,4980,4362,213,75,0.5,52,52
-12419.34647332118,5325,5638,146,0,0.75,78,78
17874.58181472509,6551,6807,111,0,1,101,104
50918.898729742425,2864,2480,622,623,0.25,26,26
-1539018.8517025707,4402,4522,180,38,0.5,52,52
-33244.42058016404,5387,5862,213,0,0.75,78,78
78235.68692866532,5818,6807,213,0,1,102,104
8823.276598036891,2440,2774,603,611,0.25,26,26
835739.7648150475,4346,4217,213,38,0.5,52,52
-218746.5688906831,5737,5690,111,0,0.75,78,78
-2770.124387146019,6112,6807,213,0,1,99,104
-207052.70867442767,2690,2733,624,526,0.25,26,26
295916.5714708739,4462,4495,146,170,0.5,52,52
52267.88793144558,5768,5787,180,0,0.75,78,78
268487.2152714957,6175,6807,75,0,1,101,104
-6627.582472344101,2517,2433,644,625,0.25,26,26
56446.93116317536,4243,4301,242,110,0.5,52,52
226654.21565050614,5374,6121,111,0,0.75,78,78
77768.9261444431,6072,6807,145,0,1,99,104
169815.09116390644,2554,2747,555,513,0.25,26,26
-1066914.0375815753,4589,4581,213,38,0.5,52,52
33411.18141291836,5338,5697,75,0,0.75,78,78
235349.198600822,6333,6807,111,0,1,100,104
119882.19162507144,2990,2466,527,547,0.25,26,26
177840.95925079615,4248,4787,245,0,0.5,52,52
36772.70028113245,5692,5698,179,0,0.75,78,78
152964.89907056518,6289,6807,245,0,1,102,104
122789.48981742217,2994,2436,440,591,0.25,26,26
-1370862.3778565356,4191,4446,213,38,0.5,52,52
-423651.0922305825,5323,5675,213,0,0.75,78,78
243897.9840877173,6198,6807,111,0,1,102,104
11885.540489105977,2425,2619,563,614,0.25,26,26
-383003.25923086016,4434,4529,329,111,0.5,52,52
-58882.65993256246,5431,5936,212,0,0.75,78,78
55797.658828230524,6019,6807,213,0,1,101,104
-135297.64640114846,2776,2726,504,437,0.25,26,26
-327554.98321077344,4361,4478,213,0,0.5,52,52
94804.56657261364,5509,5705,111,0,0.75,78,78
145293.5262335405,6057,6807,146,0,1,99,104
-262126.53181930206,2249,2722,529,477,0.25,26,26
-277930.66323768505,4455,4554,245,0,0.5,52,52
72991.49098714157,5459,5738,111,0,0.75,78,78
34406.93562758804,6128,6807,180,0,1,100,104
-50366.504748484585,2927,2832,569,480,0.25,26,26
2817.9152646319562,4309,4448,213,146,0.5,52,52
69552.89955253749,5373,5964,180,0,0.75,78,78
177816.81099633488,6113,6807,146,0,1,102,104
-36142.44481463428,2449,2905,644,514,0.25,26,26
284939.973060824,4671,4822,179,111,0.5,52,52
42382.259328972876,5623,5800,111,38,0.75,78,78
208628.21728213527,6520,6807,111,0,1,102,104
-2567.0877003109936,2646,2503,603,617,0.25,26,26
-1238530.8402708536,4149,4571,245,0,0.5,52,52
-141027.3528742413,4958,5726,245,0,0.75,78,78
266006.5503496103,5650,6807,146,0,1,102,104
-17474.46751244037,2680,2786,609,563,0.25,26,26
-730126.016527901,3948,4564,276,38,0.5,52,52
-57601.12726122671,5235,5784,275,0,0.75,78,78
320332.36501261964,6082,6807,146,0,1,100,104
71134.00608448144,2900,2749,464,556,0.25,26,26
-866787.2221021828,4383,4544,146,0,0.5,52,52
-209921.5046307755,5344,6016,146,0,0.75,78,78
102902.96403736823,5792,6807,146,0,1,100,104
35372.76899997941,2517,2689,598,592,0.25,26,26
-933572.8203974683,4264,4484,180,0,0.5,52,52
108906.64709428129,5331,5817,213,0,0.75,78,78
105971.37663874376,6196,6807,178,0,1,101,104
-24421.609699220688,2496,2304,651,541,0.25,26,26
-1241739.129336513,4192,4201,245,38,0.5,52,52
-339516.07661357144,5471,5752,146,0,0.75,78,78
101107.16348575898,6173,6807,146,0,1,99,104
40579.78337906506,2881,3126,566,602,0.25,26,26
-3505420.6375166373,4693,4569,180,38,0.5,52,52
-129191.62246191302,5443,5652,146,0,0.75,78,78
-4044.7091624610894,6290,6807,180,0,1,100,104
65656.2615241923,2734,2415,415,607,0.25,26,26
204860.41413461656,4213,4444,180,110,0.5,52,52
78328.01360921375,5756,5813,180,0,0.75,78,78
135916.03566342688,6466,6807,146,0,1,101,104
78824.09174196911,2879,2326,509,660,0.25,26,26
392766.7039905933,4028,4443,276,75,0.5,52,52
138176.64037079597,5206,5820,245,0,0.75,78,78
55081.85777958625,6088,6807,245,0,1,101,104
49811.646357203186,3081,2768,609,650,0.25,26,26
-217667.6928045533,4016,4259,363,111,0.5,52,52
111608.13786249659,5405,5871,111,0,0.75,78,78
176708.13126894078,5582,6807,146,0,1,97,104
192403.4412460066,2840,2443,503,573,0.25,26,26
141395.43705943297,4627,4352,75,38,0.5,52,52
85441.43947505299,5115,5858,179,0,0.75,78,78
145345.5519597513,6144,6807,110,0,1,101,104
-27599.906980918677,2711,2850,550,562,0.25,26,26
-239446.67647383068,4149,4884,360,38,0.5,52,52
233787.33935676748,5805,6006,75,0,0.75,78,78
9044.890642052977,6212,6807,180,0,1,99,104
-213413.9044329919,2807,2906,548,410,0.25,26,26
-1902805.8785957058,4700,4229,245,0,0.5,52,52
-265913.20151173143,5579,5725,212,0,0.75,78,78
31414.405357504227,5761,6807,213,0,1,99,104
112255.188206359,2818,2505,503,631,0.25,26,26
-270811.85817402153,4791,4463,245,75,0.5,52,52
-172925.53749392982,5655,5743,146,0,0.75,78,78
82733.63129157336,6253,6807,111,0,1,101,104
298420.6328950575,2409,3166,507,524,0.25,26,26
-815149.4502676293,4550,4407,213,0,0.5,52,52
-112608.79528491708,5308,5617,213,0,0.75,78,78
73386.87024023317,5839,6807,245,0,1,102,104
-13429.631399953425,2913,2469,558,585,0.25,26,26
-208858.82243003292,4384,4432,180,111,0.5,52,52
113037.92161047766,5532,5863,111,0,0.75,78,78
129544.10869964307,6154,6807,146,0,1,100,104
38707.07586831407,2662,2480,627,544,0.25,26,26
-646754.5656806091,4408,4456,276,38,0.5,52,52
-79120.01355102423,5413,5644,213,0,0.75,78,78
104973.61289505828,6478,6807,111,0,1,101,104
-432997.00158063206,2452,2665,548,505,0.25,26,26
-673235.2681934785,4418,4719,245,38,0.5,52,52
-80719.24888346781,5270,5834,180,0,0.75,78,78
227380.58368894726,6019,6807,75,0,1,100,104
2671.512076664773,2582,2569,629,654,0.25,26,26
-2098512.0057189753,4424,4392,245,38,0.5,52,52
-109204.57082541489,5454,5623,146,0,0.75,78,78
349200.80849476263,6415,6807,75,0,1,101,104
12476.869517378174,2708,2936,624,535,0.25,26,26
-1486219.8887975595,4837,4575,212,0,0.5,52,52
370256.526995175,5324,5769,180,0,0.75,78,78
172563.08095835758,6147,6807,111,0,1,101,104
5386.948575827905,2611,2677,486,608,0.25,26,26
-1171072.5613442766,4316,4526,213,38,0.5,52,52
-10113.16609833265,5557,5851,111,0,0.75,78,78
2106.979736605846,6103,6807,146,0,1,101,104
-72261.13601684199,2778,2754,440,532,0.25,26,26
484095.7757913422,4374,4401,245,75,0.5,52,52
12513.571166896127,5769,5989,146,0,0.75,78,78
165423.72796002054,6472,6807,146,0,1,100,104
-29503.01922240941,2454,2696,609,608,0.25,26,26
-33086.86051388467,4198,4312,180,75,0.5,52,52
95003.72924697807,5424,5599,180,0,0.75,78,78
2528.2734851402065,5820,6807,180,0,1,102,104
-131972.40478856393,2862,2633,588,578,0.25,26,26
-555405.039829733,4742,4891,180,0,0.5,52,52
-40233.8529097082,5544,5941,146,0,0.75,78,78
121382.0842127688,6286,6807,75,0,1,99,104
-6929.257907504099,2705,2223,651,542,0.25,26,26
-762421.5787060988,4880,4547,212,0,0.5,52,52
28769.257835263674,5685,5731,111,0,0.75,78,78
224814.0557670669,6041,6807,111,0,1,101,104
-51093.93247272341,2882,2495,608,561,0.25,26,26
-536376.6152326826,4137,4365,275,38,0.5,52,52
-229447.6006028195,5396,5913,179,0,0.75,78,78
248660.21633591433,6062,6807,75,0,1,102,104
-15229.53208423189,2656,2537,527,568,0.25,26,26
-386796.3844653002,4994,4845,146,38,0.5,52,52
21389.07694012794,5696,5812,111,0,0.75,78,78
140493.0866306464,6746,6807,38,0,1,101,104
-287996.22517771507,2901,2602,525,362,0.25,26,26
-870881.6780713445,3675,4360,305,38,0.5,52,52
-579.3758728845924,5443,5534,180,38,0.75,78,78
162317.45871261874,6433,6807,38,0,1,100,104
-23970.672598087185,2934,2644,583,481,0.25,26,26
-33682.04279096484,4413,4701,213,38,0.5,52,52
-250777.06710265455,5535,5745,180,0,0.75,78,78
42044.14570325368,6106,6807,146,0,1,100,104
-60831.06894104575,2865,2353,560,608,0.25,26,26
983278.7173193129,3779,4608,146,38,0.5,52,52
-48351.40852698084,4799,5753,245,0,0.75,78,78
