sum_of_errors,continuous_vertices,bikengrowth_vertices,continuous_disconnected_pairs,bikengrowth_disconnected_pairs,prune_quantile,continuous_abstract_edges,bikengrowth_abstract_edges
-78574.22822679703,2842,2452,483,616,0.25,26,26
-171715.82284958835,4607,4461,75,170,0.5,52,52
36415.82087824948,5922,5724,0,0,0.75,78,78
0.0,6807,6807,0,0,1,104,104
-101320.4455199277,2631,2627,581,615,0.25,26,26
195943.69911735386,4332,4754,75,38,0.5,52,52
59721.01024680249,5832,5849,0,38,0.75,78,78
0.0,6807,6807,0,0,1,104,104
-3844.174787022587,2697,2707,514,616,0.25,26,26
279904.1655496514,4555,4612,38,0,0.5,52,52
53208.811353437166,5705,5756,0,0,0.75,78,78
0.0,6807,6807,0,0,1,104,104
44882.48037996242,2817,2732,577,617,0.25,26,26
291603.69277527713,4790,4126,38,75,0.5,52,52
-147748.32460496796,5904,5886,0,0,0.75,78,78
0.0,6807,6807,0,0,1,104,104
-27197.627367516758,2563,2628,618,564,0.25,26,26
573856.7628315417,4491,4730,38,145,0.5,52,52
-47283.170009715934,5799,5619,0,0,0.75,78,78
0.0,6807,6807,0,0,1,104,104
88477.23299755037,2538,2834,529,591,0.25,26,26
973746.8151638035,4479,4490,0,38,0.5,52,52
126149.04176390103,5916,5877,0,0,0.75,78,78
0.0,6807,6807,0,0,1,104,104
27939.226034091014,2769,2658,619,606,0.25,26,26
-522352.0879197606,4282,4662,75,0,0.5,52,52
186705.12054162563,5942,5901,0,0,0.75,78,78
0.0,6807,6807,0,0,1,104,104
-21057.201204507415,2429,2371,635,670,0.25,26,26
590077.4692650634,4466,4714,38,38,0.5,52,52
-7330.170083448473,5657,5764,0,0,0.75,78,78
0.0,6807,6807,0,0,1,104,104
52791.44475704171,2661,2707,590,581,0.25,26,26
-658911.1252482389,4686,4516,38,38,0.5,52,52
-109787.91171405968,5595,5920,0,0,0.75,78,78
0.0,6807,6807,0,0,1,104,104
-179189.50814645944,2711,2539,512,577,0.25,26,26
421653.7221834389,4332,4662,38,111,0.5,52,52
-301156.96341078606,5826,5780,0,0,0.75,78,78
0.0,6807,6807,0,0,1,104,104
