sum_of_errors,continuous_vertices,bikengrowth_vertices,continuous_disconnected_pairs,bikengrowth_disconnected_pairs,prune_quantile,continuous_abstract_edges,bikengrowth_abstract_edges
20670.077352398697,1714,1486,686,696,0.25,18,18
35883.5852058469,3630,3487,551,551,0.5,43,43
67279.72873831584,5191,5124,335,335,0.75,70,70
153636.90443199695,6332,6807,38,0,1,100,104
6180.926506338196,1700,1486,696,696,0.25,18,18
22626.0320546579,3628,3487,531,551,0.5,43,43
24214.42961306701,5262,5124,363,335,0.75,70,70
201788.1475678339,6552,6807,38,0,1,98,104
2542.50755182559,1662,1486,686,696,0.25,18,18
38646.758880690846,3734,3487,510,551,0.5,43,43
75203.32936685048,4950,5124,335,335,0.75,70,70
64006.40271426047,6383,6807,75,0,1,99,104
-1136.2077415676004,1439,1486,696,696,0.25,18,18
38268.532594725126,3614,3487,551,551,0.5,43,43
69196.09267642307,5503,5124,306,335,0.75,70,70
159723.23066756903,6835,6807,38,0,1,101,104
-52.09720977789948,1552,1486,696,696,0.25,18,18
38727.86120133098,3667,3487,531,551,0.5,43,43
85299.05309267394,5393,5124,335,335,0.75,70,70
39707.9237674765,6780,6807,38,0,1,100,104
6285.394399101385,1703,1486,696,696,0.25,18,18
25230.176206198805,3673,3487,551,551,0.5,43,43
67887.55845212692,5712,5124,306,335,0.75,70,70
193658.17129676076,7223,6807,38,0,1,100,104
1610.2726510230975,1560,1486,696,696,0.25,18,18
11260.355350797123,3605,3487,551,551,0.5,43,43
67013.06196606717,5246,5124,335,335,0.75,70,70
78442.23297355308,6771,6807,38,0,1,99,104
-52.09720977789948,1609,1486,696,696,0.25,18,18
71682.1581634268,3338,3487,551,551,0.5,43,43
71016.12321998598,5176,5124,306,335,0.75,70,70
85767.06546683793,6681,6807,38,0,1,101,104
11315.48782571308,1519,1486,696,696,0.25,18,18
31128.951250680257,3530,3487,551,551,0.5,43,43
76447.19056116352,4942,5124,335,335,0.75,70,70
92434.28054543589,6182,6807,75,0,1,98,104
2658.894723880202,1706,1486,686,696,0.25,18,18
19141.499809414425,3662,3487,551,551,0.5,43,43
31043.418942778604,5641,5124,306,335,0.75,70,70
14775.226610378335,6811,6807,38,0,1,101,104
5281.724867734809,1705,1486,696,696,0.25,18,18
26744.34931442028,3626,3487,551,551,0.5,43,43
123073.56935651312,5138,5124,306,335,0.75,70,70
116187.52636594584,6622,6807,38,0,1,100,104
5099.181312682098,1723,1486,696,696,0.25,18,18
18081.847142225364,3729,3487,570,551,0.5,43,43
6933.276543644559,5394,5124,335,335,0.75,70,70
27890.140399869335,6884,6807,75,0,1,99,104
3970.947742896403,1630,1486,696,696,0.25,18,18
1828.4152450294564,3565,3487,551,551,0.5,43,43
49734.58657647035,5309,5124,276,335,0.75,70,70
-77838.10382144066,6904,6807,75,0,1,99,104
2769.770927862103,1583,1486,696,696,0.25,18,18
20938.897705650557,3508,3487,551,551,0.5,43,43
-522.0686661224722,5216,5124,363,335,0.75,70,70
67131.62199254964,6702,6807,38,0,1,100,104
-202.2624558390121,1970,1486,696,696,0.25,18,18
35076.96503525464,3580,3487,551,551,0.5,43,43
89009.85237769377,5244,5124,335,335,0.75,70,70
146357.27324416838,6430,6807,38,0,1,99,104
-250.5286944542031,1494,1486,696,696,0.25,18,18
13748.254254359761,3896,3487,551,551,0.5,43,43
53903.55312972844,6084,5124,335,335,0.75,70,70
226977.30471018638,7306,6807,38,0,1,99,104
1105.096016617198,1692,1486,696,696,0.25,18,18
29639.11847220824,3596,3487,570,551,0.5,43,43
101059.46019945343,5454,5124,306,335,0.75,70,70
68573.14579372143,6817,6807,38,0,1,101,104
6441.376877997402,1613,1486,696,696,0.25,18,18
18849.581777465857,3691,3487,570,551,0.5,43,43
49402.94026178004,5324,5124,335,335,0.75,70,70
26459.821696858715,6494,6807,75,0,1,98,104
21419.98946115988,1829,1486,686,696,0.25,18,18
37372.505739138316,3725,3487,531,551,0.5,43,43
99247.13876955451,5406,5124,335,335,0.75,70,70
223860.36878795258,6822,6807,38,0,1,99,104
-779.0021381124016,1576,1486,686,696,0.25,18,18
27271.602375656516,3438,3487,551,551,0.5,43,43
24074.74318002676,5410,5124,306,335,0.75,70,70
33108.936404508175,6831,6807,38,0,1,101,104
25833.65298400508,1612,1486,696,696,0.25,18,18
15326.705437826842,3532,3487,551,551,0.5,43,43
54124.07630100847,5502,5124,306,335,0.75,70,70
98530.53601430308,6740,6807,38,0,1,99,104
7849.045872483796,1475,1486,686,696,0.25,18,18
316.1857600142748,3565,3487,551,551,0.5,43,43
16692.14635201114,5265,5124,335,335,0.75,70,70
149515.66107368915,7333,6807,38,0,1,101,104
6276.271351951095,1645,1486,696,696,0.25,18,18
37258.30682067472,3599,3487,551,551,0.5,43,43
95734.00745328006,5554,5124,335,335,0.75,70,70
159013.71698662467,7118,6807,38,0,1,100,104
5096.173739890801,1565,1486,686,696,0.25,18,18
-14.480148957480651,3532,3487,531,551,0.5,43,43
-26390.49227717725,5172,5124,335,335,0.75,70,70
5748.332655859881,6618,6807,38,0,1,100,104
6884.164880656393,1547,1486,696,696,0.25,18,18
8030.833438327039,3690,3487,551,551,0.5,43,43
2869.118734694509,5595,5124,335,335,0.75,70,70
-42865.729834217185,7168,6807,38,0,1,100,104
2399.711114950592,1845,1486,686,696,0.25,18,18
12623.98044404361,3738,3487,531,551,0.5,43,43
36546.12707592642,5225,5124,306,335,0.75,70,70
52653.970356602804,6445,6807,75,0,1,98,104
7230.599288559399,1509,1486,686,696,0.25,18,18
10240.93955102546,3543,3487,551,551,0.5,43,43
42612.127033586956,5085,5124,335,335,0.75,70,70
106200.1754004692,6861,6807,38,0,1,99,104
0.0,1519,1486,696,696,0.25,18,18
34522.45665597086,3687,3487,551,551,0.5,43,43
67482.6335086921,4894,5124,335,335,0.75,70,70
116271.84713656257,6519,6807,38,0,1,100,104
-1136.2077415676004,1519,1486,696,696,0.25,18,18
-972.2466982070955,3411,3487,551,551,0.5,43,43
10204.34724893633,5335,5124,335,335,0.75,70,70
32419.36928739064,6690,6807,38,0,1,99,104
0.0,1516,1486,696,696,0.25,18,18
-4251.890241301141,3635,3487,551,551,0.5,43,43
59662.60528213832,5410,5124,306,335,0.75,70,70
99300.63833460723,6682,6807,38,0,1,100,104
6441.376877997402,1613,1486,696,696,0.25,18,18
18845.222817441812,3302,3487,570,551,0.5,43,43
8407.63371671566,5090,5124,335,335,0.75,70,70
61337.560874369534,6676,6807,38,0,1,100,104
11771.277959147897,1791,1486,696,696,0.25,18,18
53928.05414944298,3825,3487,551,551,0.5,43,43
115201.95616136277,5339,5124,306,335,0.75,70,70
124570.77157324627,6602,6807,38,0,1,98,104
13311.581268442296,1588,1486,696,696,0.25,18,18
65098.748067704124,3714,3487,531,551,0.5,43,43
68110.41440985573,5011,5124,335,335,0.75,70,70
118596.92550298943,6660,6807,38,0,1,99,104
8117.600428421594,1726,1486,696,696,0.25,18,18
27747.38715240371,3622,3487,551,551,0.5,43,43
52074.84445516461,5575,5124,335,335,0.75,70,70
63038.34277390348,7041,6807,38,0,1,100,104
